player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Andrea Pellegrino,2026-05-25,1561.520098083088,0.6,0.6666666666666666,0.6,2.5,109.7,0.5206941206941207,1550.203252670631,0,0.0,1.0,1.0,1.0
Andrea Vavassori,2026-02-03,1514.427479186959,0.4,0.3333333333333333,0.5,5.5,92.25,0.6014790764790765,1495.276959284654,0,0.0,1.0,1.0,0.0
Andreas Timini,2025-01-31,1500.0,,,,,,,1515.263693206478,1,,,,
Andrei Gorban,2025-02-01,1500.0,,,,,,,1482.4998299478063,0,,,,
Andrej Nedic,2026-02-06,1470.8198435009074,0.0,0.0,0.0,1.5,126.0,0.6642857142857143,1475.6979137413402,0,1.0,0.0,0.0,
Andres Andrade,2026-02-06,1539.5859679075675,0.7142857142857143,0.6666666666666666,0.6666666666666666,2.4,103.0,0.53,1552.3274853268656,1,1.0,0.0,1.0,1.0
Andres Martin,2024-07-22,1500.0,,,,,,,1486.0127918784112,0,,,,
Andrey Rublev,2026-05-27,1702.592724924182,0.7,0.6666666666666666,0.7,3.9,107.0,0.5821091189512242,1711.2428825623183,1,1.0,0.0,1.0,1.0
Andy Murray,2024-06-17,1433.000729132488,0.4,0.0,0.0,6.1,124.33333333333333,0.6486772486772486,1438.0883673040407,0,1.0,0.0,0.0,0.0
Anthony Susanto,2024-02-03,1500.0,0.0,0.0,0.0,1.0,77.0,0.42857142857142855,1468.0,0,0.0,,,
Antoine Escoffier,2024-01-29,1500.0,,,,,,,1483.077946541204,0,,,,
Anton Shepp,2026-02-06,1500.0,1.0,1.0,1.0,10.0,70.0,0.8333333333333334,1496.6164740826382,1,0.0,,,
Aqeel Khan,2024-09-14,1484.0,0.0,0.0,,3.0,75.0,0.6,1500.7670239808692,1,0.0,,,
Arda Azkara,2025-09-12,1500.0,,,,,,,1515.0554197003983,1,,,,
Aristotelis Thanos,2025-02-01,1498.690115549448,0.5,0.5,1.0,4.0,136.0,0.6,1514.785683805211,1,0.0,1.0,,
Arthur Cazaux,2026-03-22,1547.9636321984342,0.5,0.6666666666666666,0.5,11.2,130.3,0.5910606060606061,1536.2641665937658,0,1.0,0.0,1.0,1.0
Arthur Fery,2026-03-19,1495.448053067196,0.42857142857142855,0.3333333333333333,0.5,4.428571428571429,143.71428571428572,0.6510065748787552,1483.7612988487563,0,0.0,1.0,0.0,1.0
Arthur Fils,2026-05-09,1847.3136128564986,0.9,0.6666666666666666,0.9,2.4,101.4,0.6852678571428572,1819.3708154767537,0,0.0,1.0,1.0,1.0
Arthur Gea,2026-05-24,1490.83884794392,0.42857142857142855,0.3333333333333333,0.0,6.714285714285714,129.57142857142858,0.5597313797313797,1479.2854364693308,0,0.0,0.0,1.0,1.0
Arthur Rinderknech,2026-05-25,1629.061894892286,0.5,0.6666666666666666,0.6,8.8,104.0,0.787037037037037,1641.2705269394096,1,0.0,1.0,1.0,0.0
Aslan Karatsev,2024-10-14,1413.800496915158,0.2,0.0,0.16666666666666666,3.7,111.0,0.5106060606060605,1422.6914900821143,0,1.0,0.0,0.0,1.0
Atakan Karahan,2025-02-01,1500.0,,,,,,,1516.0,1,,,,
August Holmgren,2026-02-06,1525.2909055984608,0.5714285714285714,0.3333333333333333,0.5,16.833333333333332,146.66666666666666,0.6583333333333333,1506.3550602554456,0,0.0,1.0,0.0,1.0
Aziz Dougaz,2025-02-24,1439.0452860716407,0.25,0.0,0.2,6.0,102.66666666666667,0.4307026307026307,1430.2021381392797,0,0.0,0.0,0.0,0.0
Aziz Ouakaa,2026-02-06,1467.6837910061213,0.0,0.0,0.0,5.0,116.5,0.6363636363636364,1453.1677304521647,0,0.0,0.0,,
Beibit Zhukayev,2025-10-13,1512.5318901638052,0.5,0.3333333333333333,0.5714285714285714,11.333333333333334,76.16666666666667,0.5812499999999999,1496.7301046686002,0,0.0,0.0,1.0,1.0
Ben Shelton,2026-05-25,1706.275811792361,0.6,0.3333333333333333,0.6,7.5,130.4,0.6827272727272727,1714.928736264427,1,0.0,1.0,0.0,0.0
Benedict Badza,2024-02-03,1500.0,,,,,,,1516.0,1,,,,
Benjamin Balleret,2025-02-01,1500.736306793522,0.5,0.5,0.5,3.5,68.0,0.5476190476190476,1488.0046151105146,0,1.0,0.0,,
Benjamin Bonzi,2026-05-24,1547.2739852528468,0.5,0.3333333333333333,0.42857142857142855,5.4,123.3,0.6326728826728827,1542.8970217632846,0,0.0,1.0,0.0,1.0
Benjamin Hassan,2026-02-23,1488.2458755057721,0.5,0.6666666666666666,0.3333333333333333,2.125,81.8,0.6086805555555556,1471.4845267483383,0,0.0,1.0,1.0,0.0
Benjamin Lock,2024-02-03,1500.0,,,,,,,1484.0,0,,,,
Benoit Paire,2024-07-15,1479.0994488739193,0.3333333333333333,0.3333333333333333,1.0,7.333333333333333,114.0,0.42857142857142855,1480.2004919007068,1,0.0,0.0,0.0,1.0
